BFS_NR,GEO_LEVEL_LEVEL,GEBIET_NAME,JAHR,Einwohner_pro_ha_Wohnzone,Einwohner_pro_ha_Mischzone,Einwohner_pro_ha_Arbeitszone,Einwohner_pro_ha_Total,Beschaeftigte_pro_ha_Wohnzone,Beschaeftigte_pro_ha_Mischzone,Beschaeftigte_pro_ha_Arbeitszone,Beschaeftigte_pro_ha_Total,Einwohner_u_Beschaeftigte_pro_ha_Wohnzone,Einwohner_u_Beschaeftigte_pro_ha_Mischzone,Einwohner_u_Beschaeftigte_pro_ha_Arbeitszone,Einwohner_u_Beschaeftigte_pro_ha_Total,Einheit
64,3,"Nürensdorf",2012,43.5,49,2.3,39.5,3.7,11.7,25.9,7.4,47.1,60.7,28.1,46.8,"Anzahl"
64,3,"Nürensdorf",2013,43.4,49.3,2,39.5,2.7,11.7,27.1,6.9,46.1,61,29.1,46.4,"Anzahl"
64,3,"Nürensdorf",2014,43.8,49.6,2.1,39.9,2.7,12.5,25.9,7.1,46.5,62.1,28,47,"Anzahl"
64,3,"Nürensdorf",2015,43.9,51,1.7,40.3,2.7,12.1,28.5,7.2,46.6,63.2,30.2,47.6,"Anzahl"
64,3,"Nürensdorf",2016,44.6,52.8,2.1,41.2,2.6,12.3,29,7.2,47.2,65.1,31.1,48.5,"Anzahl"
64,3,"Nürensdorf",2017,45.2,52,2.1,41.4,2.5,12.1,28.5,7.2,47.7,64.1,30.6,48.6,"Anzahl"
64,3,"Nürensdorf",2018,45.4,52.1,2,41.5,2.6,11.8,26.2,7.1,48.1,63.9,28.2,48.6,"Anzahl"
64,3,"Nürensdorf",2019,45.3,51.4,4,42.6,2.6,12.5,45.1,7.3,47.9,64,49.1,49.9,"Anzahl"
64,3,"Nürensdorf",2020,45,52.7,3.5,42.7,4,12.6,29.4,7.8,49,65.3,32.9,50.6,"Anzahl"
64,3,"Nürensdorf",2021,45.4,54.9,4,43.5,4.2,11.6,42.3,8.1,49.6,66.5,46.3,51.6,"Anzahl"
65,3,"Oberembrach",2012,37.5,42,0,36.7,1.9,12.5,0,7.6,39.3,54.4,0,44.3,"Anzahl"
65,3,"Oberembrach",2013,38.5,43.4,0,38.1,1.6,11.2,0,7.7,40,54.6,0,45.8,"Anzahl"
65,3,"Oberembrach",2014,37.1,44.9,0,38.5,1.9,10.7,0,7.6,38.9,55.6,0,46,"Anzahl"
65,3,"Oberembrach",2015,36,43.6,0,37.4,2.1,10.4,0,7.3,38.1,54,0,44.6,"Anzahl"
65,3,"Oberembrach",2016,35.5,44.4,0,37.6,1.9,11.1,0,7.6,37.4,55.5,0,45.1,"Anzahl"
65,3,"Oberembrach",2017,35.2,44.1,0,37.3,1.5,10.1,0,6.9,36.8,54.3,0,44.2,"Anzahl"
65,3,"Oberembrach",2018,35.4,44,0,37.3,1.3,9.6,0,6.6,36.8,53.6,0,43.9,"Anzahl"
65,3,"Oberembrach",2019,35.4,56.3,0,40.8,1.4,12,0,7.3,36.9,68.4,0,48.1,"Anzahl"
65,3,"Oberembrach",2020,36.6,56.4,0,41,1.6,11.9,0,7,38.2,68.3,0,48,"Anzahl"
65,3,"Oberembrach",2021,36.8,55.9,0,40.9,1.9,12.4,0,7.5,38.7,68.3,0,48.4,"Anzahl"
66,3,"Opfikon",2012,92.4,45.7,,58.1,6.9,143.8,10.8,74.9,99.3,189.5,,133,"Anzahl"
66,3,"Opfikon",2013,89.4,50.5,,58.1,7.9,127.4,10.1,71.2,97.3,178,,129.3,"Anzahl"
66,3,"Opfikon",2014,89.7,54.4,,59.9,8,115.5,10.5,65.8,97.7,169.9,,125.7,"Anzahl"
66,3,"Opfikon",2015,92,63.9,,65.6,7.3,122.4,10.8,69,99.3,186.3,,134.6,"Anzahl"
66,3,"Opfikon",2016,95.6,67.2,,68.4,6.8,117.9,11.2,67.8,102.3,185.2,,136.2,"Anzahl"
66,3,"Opfikon",2017,96.6,68.8,,69.6,7,115.6,10.9,67,103.6,184.4,,136.6,"Anzahl"
66,3,"Opfikon",2018,94.7,72.2,,70.7,9.7,114.1,10.9,67.4,104.5,186.2,,138.1,"Anzahl"
66,3,"Opfikon",2019,95.1,76.9,,73.2,8.3,127.7,11.9,74.3,103.4,204.6,,147.5,"Anzahl"
66,3,"Opfikon",2020,107.6,62.1,,73.2,10.5,149.4,10.1,75.8,118.2,211.5,,149,"Anzahl"
66,3,"Opfikon",2021,107.8,62.5,,73.4,9.4,169.6,9.3,84.5,117.1,232,,157.9,"Anzahl"
67,3,"Rafz",2012,47.1,45,0.6,35.8,5.2,21.1,11.8,11.7,52.3,66.1,12.4,47.5,"Anzahl"
67,3,"Rafz",2013,47.6,45.9,0.6,36.4,3.6,24.1,11.8,12,51.2,69.9,12.4,48.4,"Anzahl"
67,3,"Rafz",2014,48.6,46.6,1,36.8,3.9,22.5,13.1,11.8,52.5,69.1,14.2,48.6,"Anzahl"
67,3,"Rafz",2015,50.1,46.1,0.9,37.3,3.6,19.2,15.6,11.3,53.7,65.3,16.5,48.6,"Anzahl"
67,3,"Rafz",2016,50.7,47.1,0.8,37.7,3.6,19.7,16.8,11.7,54.3,66.8,17.6,49.4,"Anzahl"
67,3,"Rafz",2017,50.6,47.4,0.8,37.9,3.4,20,16.5,11.7,54.1,67.4,17.3,49.6,"Anzahl"
67,3,"Rafz",2018,52.2,47.5,0.7,38.4,3.5,19.6,13.2,11.1,55.8,67.1,13.9,49.5,"Anzahl"
67,3,"Rafz",2019,53,49.6,0.6,38.5,3.6,23.2,12,11.9,56.6,72.8,12.6,50.4,"Anzahl"
67,3,"Rafz",2020,52.5,49.7,0.6,38.3,4.6,23.8,12.6,12.3,57.1,73.5,13.1,50.6,"Anzahl"
67,3,"Rafz",2021,52.8,50.6,0.5,38.3,5.1,24.5,12.6,12.6,57.8,75.1,13.1,50.9,"Anzahl"
68,3,"Rorbas",2012,56.5,49.5,1.2,46.3,3.9,10.4,23.7,8.7,60.5,59.9,24.9,55.1,"Anzahl"
68,3,"Rorbas",2013,59.4,49.8,1.2,47.7,4.1,11.2,25.3,9.2,63.5,61,26.5,56.9,"Anzahl"
68,3,"Rorbas",2014,60.9,53.5,1.2,49.7,3.4,11.9,23.7,9,64.3,65.4,24.9,58.7,"Anzahl"
68,3,"Rorbas",2015,58.4,54.8,1.2,49.5,3.4,10.9,26.5,8.7,61.8,65.7,27.8,58.2,"Anzahl"
68,3,"Rorbas",2016,60.5,55.2,1.2,50.5,7.2,11.6,25.7,10.5,67.7,66.8,27,61,"Anzahl"
68,3,"Rorbas",2017,60.6,54.5,,50.4,3.4,11,19.1,9,64,65.5,,59.3,"Anzahl"
68,3,"Rorbas",2018,60.2,53.9,,49.9,3.2,9.5,22.4,8.3,63.4,63.4,,58.2,"Anzahl"
68,3,"Rorbas",2019,60.8,55.3,,50.8,3.5,9.7,22.4,8.5,64.4,65,,59.3,"Anzahl"
68,3,"Rorbas",2020,61.7,53.8,,50.7,4.3,9.3,20.1,8.5,66,63.1,,59.2,"Anzahl"
68,3,"Rorbas",2021,61.2,54.8,,51,4.8,10.2,18.2,9,66,64.9,,60,"Anzahl"
69,3,"Wallisellen",2012,69.8,64.2,2.6,47,5.4,46.6,169.6,53.9,75.2,110.7,172.2,100.9,"Anzahl"
69,3,"Wallisellen",2013,70.7,70.7,2.5,48.9,5.3,46.8,162.6,52.7,76,117.5,165.2,101.6,"Anzahl"
69,3,"Wallisellen",2014,70.6,77.5,2.9,50.5,5.7,94.9,165.5,65.4,76.3,172.4,168.4,115.8,"Anzahl"
69,3,"Wallisellen",2015,71.6,80,2.9,51.4,5.8,97.9,167.3,66.7,77.4,177.8,170.2,118.1,"Anzahl"
69,3,"Wallisellen",2016,72.3,84.8,2.8,53,5.6,103.2,163.2,66.8,77.8,188,166,119.8,"Anzahl"
69,3,"Wallisellen",2017,72.5,83.1,2.5,52.7,5.8,105,159.3,66.6,78.3,188,161.8,119.4,"Anzahl"
69,3,"Wallisellen",2018,71.9,88.4,2.8,54,5.8,89.1,181.1,67.8,77.6,177.5,183.9,121.7,"Anzahl"
69,3,"Wallisellen",2019,72,75.4,32.6,55.1,5.9,39.2,197.5,68.8,77.9,114.7,230.1,123.8,"Anzahl"
69,3,"Wallisellen",2020,73,78.1,32,55.7,5.6,37.6,198.1,70.3,78.6,115.7,230.1,126,"Anzahl"
69,3,"Wallisellen",2021,73,78.6,33.7,56.3,5.6,37.1,201.3,69.6,78.6,115.7,235,125.8,"Anzahl"
70,3,"Wasterkingen",2012,33.6,38.9,0,35.7,1.4,5.2,0,4.1,35.1,44.1,0,39.8,"Anzahl"
70,3,"Wasterkingen",2013,34.4,40.2,0,36.8,1.7,5.4,0,4.6,36,45.6,0,41.4,"Anzahl"
70,3,"Wasterkingen",2014,33.9,40.9,0,37.1,1.9,4.9,0,4.1,35.8,45.9,0,41.2,"Anzahl"
70,3,"Wasterkingen",2015,33.4,40.2,0,36.6,1.9,4.3,0,3.8,35.3,44.5,0,40.4,"Anzahl"
70,3,"Wasterkingen",2016,32,40,0,36.1,1.4,4.4,0,4.2,33.4,44.4,0,40.3,"Anzahl"
70,3,"Wasterkingen",2017,32.9,41.2,0,37.2,1.7,5.5,0,5.2,34.6,46.8,0,42.4,"Anzahl"
70,3,"Wasterkingen",2018,31,38.9,0,35.1,1.2,4.6,0,4.3,32.2,43.5,0,39.3,"Anzahl"
70,3,"Wasterkingen",2019,30.6,40.5,0,36,1.4,5.6,0,5.1,32,46.1,0,41.1,"Anzahl"
70,3,"Wasterkingen",2020,29.9,41.3,0,36.2,1.2,5,0,4.2,31,46.3,0,40.4,"Anzahl"
70,3,"Wasterkingen",2021,29.4,40.9,0,35.9,1.4,5.4,0,4.4,30.8,46.4,0,40.3,"Anzahl"
71,3,"Wil (ZH)",2012,23.8,35.4,1.8,20.8,3.1,7.5,11.8,7.1,26.9,42.9,13.6,27.9,"Anzahl"
71,3,"Wil (ZH)",2013,23.6,35.9,1.8,20.9,3.3,7.4,13.3,8,26.9,43.2,15.1,28.9,"Anzahl"
71,3,"Wil (ZH)",2014,24.9,36.8,1.6,21.6,3.3,7.4,11.6,7.2,28.2,44.2,13.2,28.8,"Anzahl"
71,3,"Wil (ZH)",2015,25,36.9,1.9,21.9,3.2,6.9,11.6,7,28.2,43.8,13.5,28.9,"Anzahl"
71,3,"Wil (ZH)",2016,25.2,36.3,1.8,21.7,3.2,6.7,12.1,7.8,28.5,43.1,13.8,29.4,"Anzahl"
71,3,"Wil (ZH)",2017,25.3,36.9,2,22,2.5,7,11.5,7.7,27.9,43.9,13.5,29.7,"Anzahl"
71,3,"Wil (ZH)",2018,25.4,37.8,1.7,22.3,2.6,8.2,12,8.4,28.1,46,13.7,30.6,"Anzahl"
71,3,"Wil (ZH)",2019,26.3,38.9,1.7,22.9,2.6,7.9,11.5,8,28.9,46.8,13.2,31,"Anzahl"
71,3,"Wil (ZH)",2020,26.1,40.8,1.7,22.8,2.6,7.3,10.9,7.3,28.7,48,12.6,30.1,"Anzahl"
71,3,"Wil (ZH)",2021,26,41.6,1.8,23,2.5,7.7,11.4,7.4,28.6,49.3,13.2,30.4,"Anzahl"
72,3,"Winkel",2012,42.3,55.9,,43.3,5.7,15,,8,48,70.8,,51.2,"Anzahl"
72,3,"Winkel",2013,43.8,53.7,,44.1,3.7,13.9,,6.5,47.5,67.6,,50.6,"Anzahl"
72,3,"Winkel",2014,43.7,52.4,,43.7,3.8,13.4,,6.5,47.5,65.7,,50.2,"Anzahl"
72,3,"Winkel",2015,43.8,53.7,,44,4,12.8,,7.1,47.8,66.5,,51.1,"Anzahl"
72,3,"Winkel",2016,45.2,56.4,,45.5,3.9,14.6,,8.2,49,71,,53.7,"Anzahl"
72,3,"Winkel",2017,46.4,60.2,,47.2,4.4,14.5,,8.5,50.7,74.8,,55.7,"Anzahl"
72,3,"Winkel",2018,45.2,63.1,,46.8,4,16.1,,8.5,49.1,79.3,,55.3,"Anzahl"
72,3,"Winkel",2019,45.4,63.5,0,46.9,4.4,15.7,0,8.7,49.8,79.2,0,55.5,"Anzahl"
72,3,"Winkel",2020,46.8,58.4,0,47.6,3.9,12.5,0,8.3,50.8,70.9,0,55.9,"Anzahl"
72,3,"Winkel",2021,47.1,68,0,50,4.7,10.3,0,8.8,51.7,78.2,0,58.8,"Anzahl"
81,3,"Bachs",2012,32.6,20.6,4.4,22.2,2.3,10.4,29.1,9.8,34.8,31,33.6,32,"Anzahl"
81,3,"Bachs",2013,41.7,20.6,4.4,24.3,1.8,11.9,25.6,10.5,43.4,32.4,30,34.7,"Anzahl"
81,3,"Bachs",2014,40.1,20.2,4.4,23.6,3.8,12,27.4,11.1,43.9,32.1,31.8,34.7,"Anzahl"
81,3,"Bachs",2015,40.7,19.4,4.4,23.2,2,11.2,27.4,10.1,42.7,30.5,31.8,33.3,"Anzahl"
81,3,"Bachs",2016,40.9,20.7,5.3,24.1,2.3,12.8,28.3,11.4,43.2,33.5,33.6,35.4,"Anzahl"
81,3,"Bachs",2017,41.2,19.4,7.1,23.3,1.8,12.6,28.3,11.1,43,32,35.3,34.4,"Anzahl"
81,3,"Bachs",2018,38.9,19.9,7.1,23.2,1.3,11.8,30.9,10.6,40.2,31.7,38,33.7,"Anzahl"
81,3,"Bachs",2019,38.6,20.3,0,24.5,1,11.3,0,8.7,39.5,31.6,0,33.3,"Anzahl"
81,3,"Bachs",2020,38.5,21.8,0,25.7,2.4,10.7,0,8.6,40.9,32.5,0,34.3,"Anzahl"
81,3,"Bachs",2021,39,23.5,0,27.1,1.7,9.9,0,7.8,40.6,33.4,0,34.9,"Anzahl"
82,3,"Boppelsen",2012,33.4,56.4,,39.6,3.9,10,57.8,8.6,37.3,66.4,,48.2,"Anzahl"
82,3,"Boppelsen",2013,34,58.5,,40.6,3.5,9.3,5.9,5.9,37.5,67.8,,46.5,"Anzahl"
82,3,"Boppelsen",2014,33.1,57.1,,39.6,3.6,9.6,57.8,8,36.7,66.7,,47.6,"Anzahl"
82,3,"Boppelsen",2015,33.1,60.3,,40.4,3.4,8.8,57.8,7.5,36.5,69,,47.8,"Anzahl"
82,3,"Boppelsen",2016,33.5,58.7,,39.3,3.1,9.2,57.8,7.8,36.6,67.9,,47,"Anzahl"
82,3,"Boppelsen",2017,34.7,60.3,,40.6,3.1,8.4,57.8,7.5,37.8,68.7,,48,"Anzahl"
82,3,"Boppelsen",2018,35.4,59.3,,40.6,2.8,8.9,87.5,9.2,38.3,68.3,,49.9,"Anzahl"
82,3,"Boppelsen",2019,37,60.7,0,43.7,3,8.9,0,5.9,40,69.6,0,49.7,"Anzahl"
82,3,"Boppelsen",2020,38.1,62.2,0,44.9,2.5,9.3,0,5.8,40.5,71.4,0,50.7,"Anzahl"
82,3,"Boppelsen",2021,37.9,62.1,0,44.8,2.5,9.3,0,5.9,40.3,71.4,0,50.7,"Anzahl"
83,3,"Buchs (ZH)",2012,78.5,48.4,1.8,48.3,4.3,19.4,42.3,17.3,82.7,67.8,44.1,65.6,"Anzahl"
83,3,"Buchs (ZH)",2013,78.4,51.2,1.8,48.6,4.6,20,34.8,16.4,83,71.2,36.5,65,"Anzahl"
83,3,"Buchs (ZH)",2014,77,51.5,2,48.2,4.3,20.2,38.4,17.4,81.3,71.7,40.4,65.6,"Anzahl"
83,3,"Buchs (ZH)",2015,78.6,50.6,1.7,48.5,4.5,20.9,36.3,17.4,83.2,71.4,38,65.9,"Anzahl"
83,3,"Buchs (ZH)",2016,79.1,50.8,1.8,48.7,4.2,22.2,36.6,17.8,83.3,72.9,38.4,66.5,"Anzahl"
83,3,"Buchs (ZH)",2017,78.6,50.7,1.4,48.5,4.2,19.5,36.3,17.1,82.8,70.2,37.8,65.5,"Anzahl"
83,3,"Buchs (ZH)",2018,78.7,51.3,1.1,48.7,3.9,21,34.6,17,82.6,72.3,35.7,65.7,"Anzahl"
83,3,"Buchs (ZH)",2019,78.8,59.5,1.9,53.6,4,24.9,39.9,18.1,82.8,84.5,41.8,71.7,"Anzahl"
83,3,"Buchs (ZH)",2020,78,60.2,1.6,53.6,4,25.8,44.3,19.3,82,86,45.9,72.9,"Anzahl"
83,3,"Buchs (ZH)",2021,76.9,62.1,1.8,54,4.3,27.8,43.6,19.3,81.1,90,45.4,73.3,"Anzahl"
84,3,"Dällikon",2012,77.8,54.3,1.9,39.8,3.8,17.2,58.6,29.1,81.6,71.5,60.4,68.9,"Anzahl"
84,3,"Dällikon",2013,78.9,53.8,1.8,40.1,3.7,17.4,52.3,26.5,82.6,71.2,54.1,66.6,"Anzahl"
84,3,"Dällikon",2014,79.4,60.4,2,41.7,3.9,17.2,57.3,28.6,83.3,77.6,59.4,70.3,"Anzahl"
84,3,"Dällikon",2015,78.9,64.1,2.1,42.2,3.7,17.3,56.9,28.4,82.6,81.4,59,70.6,"Anzahl"
84,3,"Dällikon",2016,80.6,66.5,1.9,43.1,5.1,16.6,54.1,27.7,85.7,83.1,56,70.8,"Anzahl"
84,3,"Dällikon",2017,80.4,68.6,2.1,43.3,5.1,15.7,55,28.1,85.6,84.3,57.1,71.4,"Anzahl"
84,3,"Dällikon",2018,81.2,69.1,2,43.3,5.7,15.2,54.5,28.2,86.8,84.3,56.5,71.5,"Anzahl"
84,3,"Dällikon",2019,81.4,70.5,2.3,46.1,5.2,15.5,54.3,26.7,86.6,85.9,56.6,72.8,"Anzahl"
84,3,"Dällikon",2020,84.4,70.6,2.2,47.2,5.3,16.7,54.2,26.9,89.7,87.3,56.3,74.1,"Anzahl"
84,3,"Dällikon",2021,84.5,71.1,2.3,47.4,5.8,18.4,51.3,26.3,90.3,89.5,53.6,73.7,"Anzahl"
85,3,"Dänikon",2012,41,78.9,,55.2,3.6,10.5,84.9,11.8,44.6,89.4,,67,"Anzahl"
85,3,"Dänikon",2013,41.5,79.5,,55.6,3,10,72.5,10.7,44.4,89.5,,66.3,"Anzahl"
85,3,"Dänikon",2014,41.7,79.4,,55.7,3,10.6,78.4,11.2,44.7,90.1,,67,"Anzahl"
85,3,"Dänikon",2015,41.1,76.4,,54,3.7,11.5,82.8,12.3,44.8,87.9,,66.3,"Anzahl"
85,3,"Dänikon",2016,41.1,75.6,,53.6,3.5,9.9,88.2,12.4,44.5,85.5,,66,"Anzahl"
85,3,"Dänikon",2017,40.6,75.2,,53.2,3.9,9.6,61.1,11,44.5,84.8,,64.3,"Anzahl"
85,3,"Dänikon",2018,41.7,74.6,,53.4,4,9,63.3,10.7,45.7,83.7,,64.2,"Anzahl"
85,3,"Dänikon",2019,63.4,48.7,,52.8,3.8,11.1,63.8,10.3,67.2,59.8,,63,"Anzahl"
85,3,"Dänikon",2020,41.1,71.4,,51.8,2.7,9.1,59,10.1,43.8,80.5,,62,"Anzahl"
85,3,"Dänikon",2021,41.3,71.3,,51.8,3.6,8.2,62.2,10.2,44.8,79.5,,62,"Anzahl"
86,3,"Dielsdorf",2012,65.4,59.4,1.3,38.9,5.9,34.9,51.9,25.5,71.3,94.3,53.3,64.4,"Anzahl"
86,3,"Dielsdorf",2013,65.7,60.4,1.3,39.1,6,33.2,54.1,26,71.7,93.7,55.4,65.2,"Anzahl"
86,3,"Dielsdorf",2014,66.6,62.2,1.3,39.7,6.5,29.2,55.7,26,73,91.4,56.9,65.6,"Anzahl"
86,3,"Dielsdorf",2015,66.7,62.2,1.2,39.7,6.4,31.7,55.8,26.5,73.1,94,57,66.1,"Anzahl"
86,3,"Dielsdorf",2016,67.1,62,1,39.9,6,32.6,57.6,27.2,73.1,94.6,58.7,67.1,"Anzahl"
86,3,"Dielsdorf",2017,66.7,61.8,1,39.5,5.9,33.6,56.4,27.6,72.6,95.4,57.3,67.1,"Anzahl"
86,3,"Dielsdorf",2018,70.1,49.5,0.9,39.6,6.3,39,58.3,29,76.3,88.5,59.2,68.6,"Anzahl"
86,3,"Dielsdorf",2019,69.3,49.6,0.8,39.3,4.4,39.9,63,29.4,73.7,89.5,63.9,68.8,"Anzahl"
86,3,"Dielsdorf",2020,68.2,49.4,0.8,39,4.8,40.2,62.4,29.6,73,89.6,63.2,68.6,"Anzahl"
86,3,"Dielsdorf",2021,69.1,49.8,0.6,39.1,4.4,37.9,63.1,29.5,73.4,87.7,63.7,68.6,"Anzahl"
87,3,"Hüttikon",2012,32.5,33.3,0,32.8,3.5,11.8,0,6,36,45.1,0,38.8,"Anzahl"
87,3,"Hüttikon",2013,32.5,34.6,0,33.1,3.8,10.5,0,5.8,36.2,45.1,0,39,"Anzahl"
87,3,"Hüttikon",2014,33.6,34.5,0,33.9,3.2,7.4,0,4.7,36.7,41.9,0,38.6,"Anzahl"
87,3,"Hüttikon",2015,34.8,56.4,0,42.7,2.7,8.7,0,4.9,37.5,65.1,0,47.7,"Anzahl"
87,3,"Hüttikon",2016,34.8,61.5,0,44.6,3.2,8.8,0,5.3,37.9,70.3,0,49.9,"Anzahl"
87,3,"Hüttikon",2017,34.4,62.8,0,44.8,3,7.3,0,4.6,37.4,70.2,0,49.4,"Anzahl"
87,3,"Hüttikon",2018,33.7,62.8,0,44.3,3.7,9,0,5.7,37.5,71.8,0,50,"Anzahl"
87,3,"Hüttikon",2019,34.2,63.8,0,44.7,3.3,6.5,0,4.5,37.5,70.3,0,49.2,"Anzahl"
87,3,"Hüttikon",2020,32,64.1,0,43,2.7,6.1,0,3.9,34.7,70.2,0,46.9,"Anzahl"
87,3,"Hüttikon",2021,31.7,61.6,0,42,3.1,5.8,0,4.1,34.8,67.5,0,46,"Anzahl"
88,3,"Neerach",2012,32.7,58,3,39.8,2.7,8.4,89.5,7.6,35.4,66.3,92.5,47.4,"Anzahl"
88,3,"Neerach",2013,33.1,57.2,2.5,39.7,2.9,7.7,97.9,7.8,35.9,64.9,100.4,47.5,"Anzahl"
88,3,"Neerach",2014,32.9,55.9,2.5,39.3,3.2,7.7,105.3,8.1,36,63.6,107.7,47.4,"Anzahl"
88,3,"Neerach",2015,32.6,57.2,3.4,39.6,2.7,7,113.1,7.9,35.3,64.2,116.6,47.5,"Anzahl"
88,3,"Neerach",2016,32.6,60.1,3.9,40.6,3.2,8.1,98.9,8.2,35.8,68.2,102.9,48.9,"Anzahl"
88,3,"Neerach",2017,32.5,61.1,3.4,41,3.1,7,103.8,8,35.6,68.1,107.3,49,"Anzahl"
88,3,"Neerach",2018,32.1,62.7,3.4,41.3,3.1,6.6,107.8,7.9,35.2,69.3,111.3,49.2,"Anzahl"
88,3,"Neerach",2019,32.4,62.1,2,41.2,3.2,6.9,107.3,8,35.6,69,109.3,49.2,"Anzahl"
88,3,"Neerach",2020,33.1,62.5,2.5,41.8,3.3,7.1,98.4,8,36.5,69.6,100.9,49.8,"Anzahl"
88,3,"Neerach",2021,34.4,62.5,2.5,42.5,3.7,6.5,95.5,8.3,38,69,98,50.9,"Anzahl"
89,3,"Niederglatt",2012,53.5,66,4,44.6,4.5,17.5,30.8,13.1,58,83.5,34.8,57.7,"Anzahl"
89,3,"Niederglatt",2013,54.7,66.1,4,45.2,5.2,17.8,31.3,13,59.9,83.9,35.4,58.2,"Anzahl"
89,3,"Niederglatt",2014,55.6,66,4.3,45.5,5.7,18.6,31.3,13.4,61.3,84.6,35.6,58.9,"Anzahl"
89,3,"Niederglatt",2015,55.4,68.6,3.8,46,5.8,17.3,27.7,12.8,61.2,85.9,31.5,58.8,"Anzahl"
89,3,"Niederglatt",2016,57,71.6,4.3,47.8,6.1,19.1,29.9,13.6,63.1,90.7,34.2,61.5,"Anzahl"
89,3,"Niederglatt",2017,56.7,74.2,4,48,6.1,18.5,29.3,13.8,62.8,92.7,33.2,61.8,"Anzahl"
89,3,"Niederglatt",2018,57,73.8,4.1,48.1,5.4,18.5,32.7,13.6,62.4,92.3,36.8,61.7,"Anzahl"
89,3,"Niederglatt",2019,56.5,74.3,4.5,48.1,3.3,22,35.8,13.9,59.9,96.3,40.3,62,"Anzahl"
89,3,"Niederglatt",2020,56.1,72.8,4.5,47.5,3.6,21.1,35.5,13.8,59.7,93.9,39.9,61.4,"Anzahl"
89,3,"Niederglatt",2021,56.7,72.7,3.9,47.7,3.6,32.7,37.1,16.3,60.3,105.4,41,64,"Anzahl"
90,3,"Niederhasli",2012,72.3,55.2,1.5,45,4.5,12.5,23,12,76.8,67.7,24.5,57,"Anzahl"
90,3,"Niederhasli",2013,72.2,57.8,1.5,45.3,4.2,12.5,21.8,11.7,76.4,70.3,23.4,57,"Anzahl"
90,3,"Niederhasli",2014,72.1,62.4,1.5,46,4.2,12.8,19.2,11.2,76.3,75.1,20.7,57.2,"Anzahl"
90,3,"Niederhasli",2015,71.6,63.7,1.4,46.1,4.6,11.5,19.2,11.1,76.2,75.2,20.6,57.2,"Anzahl"
90,3,"Niederhasli",2016,71.5,65.9,1.5,45.9,4.5,11,19.7,11.3,76,76.9,21.1,57.2,"Anzahl"
90,3,"Niederhasli",2017,71.8,66.2,1.4,46,4.4,10.6,22.8,12.2,76.2,76.8,24.2,58.2,"Anzahl"
90,3,"Niederhasli",2018,71.3,62.2,1.2,45.9,4.4,14.7,20.8,12.4,75.8,76.9,22,58.3,"Anzahl"
90,3,"Niederhasli",2019,72,62.1,1.3,46.1,4.3,15.1,20.6,12.3,76.3,77.2,21.9,58.4,"Anzahl"
90,3,"Niederhasli",2020,72.3,64.5,1.3,46.8,4.7,15,21,12.6,77,79.5,22.4,59.4,"Anzahl"
90,3,"Niederhasli",2021,71.6,65.7,1.4,46.3,4.3,13.9,21.8,12.6,75.9,79.6,23.1,58.8,"Anzahl"
91,3,"Niederweningen",2012,43.6,40,0.2,35.2,3.3,6.8,49.1,10.8,46.9,46.8,49.4,46.1,"Anzahl"
91,3,"Niederweningen",2013,43.9,37.1,0.2,34.9,3.5,6.3,50.9,10.9,47.4,43.4,51.1,45.8,"Anzahl"
91,3,"Niederweningen",2014,44.5,41.1,0.4,35.7,3.4,6.7,50.8,11.1,47.9,47.8,51.2,46.8,"Anzahl"
91,3,"Niederweningen",2015,43.9,39.9,0.3,35.1,3.1,6.4,41.5,9.7,47,46.3,41.9,44.8,"Anzahl"
91,3,"Niederweningen",2016,44.2,42.9,0.3,36,2.9,6,42.8,9.6,47.1,48.9,43.1,45.6,"Anzahl"
91,3,"Niederweningen",2017,44.6,46.3,0.3,37.1,3,5.7,42.2,9.7,47.6,52.1,42.5,46.7,"Anzahl"
91,3,"Niederweningen",2018,44.8,49.9,0.3,38,2.8,6.6,47.7,10.4,47.5,56.5,48,48.4,"Anzahl"
91,3,"Niederweningen",2019,45.1,50,0.4,38.2,3.8,7.5,47.5,11.9,48.9,57.5,47.9,50.1,"Anzahl"
91,3,"Niederweningen",2020,45.2,50.6,0.2,38.4,3.8,6.9,45.6,11.1,48.9,57.5,45.8,49.5,"Anzahl"
91,3,"Niederweningen",2021,45.6,50.6,0.2,38.7,4,7.1,43.3,10.9,49.6,57.7,43.5,49.5,"Anzahl"
92,3,"Oberglatt",2012,67.3,63.9,9.6,50.6,4.3,8.6,35.7,10.7,71.6,72.5,45.4,61.2,"Anzahl"
92,3,"Oberglatt",2013,68.7,69.8,9.5,53.1,4,7.9,34.6,10.3,72.8,77.6,44.1,63.5,"Anzahl"
92,3,"Oberglatt",2014,71.2,71.1,9.3,54.3,4.5,8,50.1,12.9,75.7,79.2,59.5,67.2,"Anzahl"
92,3,"Oberglatt",2015,71.8,73.5,7.8,53.7,4.7,7.8,42.1,13.1,76.5,81.4,49.8,66.8,"Anzahl"
92,3,"Oberglatt",2016,72.9,75.8,8.1,55,4.1,15.2,28.1,13.1,77.1,91,36.2,68.1,"Anzahl"
92,3,"Oberglatt",2017,71.9,76.2,7.9,54.9,4.2,8.2,44.3,13.1,76.1,84.4,52.3,68,"Anzahl"
